title,url,company,salary,deadline,location,lien_he
Công ty TNHH Cơ Khí Chính Xác và TM Nguyên Linh Tuyển...,https://vinhphuc.work/cong-ty-tnhh-co-khi-chinh-xac-va-tm-nguyen-linh-tuyen-nhan-vien-van-phong.html,Công ty TNHH Cơ Khí Chính Xác và TM Nguyên Linh,Thỏa thuận,05/11/2021,"Khu Mậu Thông, Khai Quang, Vĩnh Yên, VP",
Công ty cổ phần công nghệ Hà Lan Tuyển Kế toán,https://vinhphuc.work/cong-ty-co-phan-cong-nghe-ha-lan-tuyen-ke-toan.html,Công ty cổ phần công nghệ Hà Lan,Thỏa thuận,05/11/2021,CCN Hợp Thịnh – Tam Dương – Vĩnh Phúc,
"Công ty TNHH SungJin Vina Tuyển dụng Nhân viên kỹ thuật điện,...",https://vinhphuc.work/cong-ty-tnhh-sungjin-vina-tuyen-dung-nhan-vien-ky-thuat-dien-dien-tu.html,Công Ty TNHH Sungjin Vina,Thỏa thuận,05/11/2021,"Nhà xưởng số 3, Lô CN 12, Khu công nghiệp Khai Quang - Phường...",
Denko Việt Nam tuyển dụng tháng 11/2021,https://vinhphuc.work/denko-viet-nam-tuyen-dung-thang-11-2021.html,Công ty TNHH Denko Việt Nam,Thỏa thuận,05/11/2021,KCN Bá Thiện 2- Thiện Kế - Bình Xuyên - Vĩnh Phúc,
Trường liên cấp Newton tuyển Kế toán tổng hợp,https://vinhphuc.work/truong-lien-cap-newton-tuyen-ke-toan-tong-hop.html,,Thỏa thuận,04/11/2021,"Lô TH- Khu đô thị sinh thái Bắc Đầm Vạc, phường Đống Đa, thành...",
Công ty cổ phần Bang Joo electronics Việt Nam tuyển dụng vị...,https://vinhphuc.work/cong-ty-co-phan-bang-joo-electronics-viet-nam-tuyen-dung-vi-tri-nhan-vien-kttb.html,Công ty cổ phần Bang Joo Electronics Việt Nam,thỏa thuận,04/11/2021 đến khi tuyển được ứng viên phù hợp,Công ty CP Bang Joo Electronics Việt Nam,"* Hồ sơ gửi về địa chỉ:
Email: huong lynguyen520@gmail.com
SĐT: 0211.388.350 (ext 123)"
Công ty TNHH LIEH KWAN Việt Nam Tuyển Kế toán tổng hợp,https://vinhphuc.work/cong-ty-tnhh-lieh-kwan-viet-nam-tuyen-ke-toan-tong-hop.html,Công ty TNHH LIEH KWAN Việt Nam,Thỏa thuận,03/11/2021,"Khu công nghiệp Bá Thiện 2 , Vĩnh Phúc ( Thuê xưởng trong xưởng...",
Công ty TNHH sản xuất ISC Vina tuyển dụng nhân viên Y...,https://vinhphuc.work/cong-ty-tnhh-san-xuat-isc-vina-tuyen-dung-nhan-vien-y-te.html,Công ty TNHH ISC Vina,Thỏa thuận,03/11/2021,"Lô A12-2, KCN Bá Thiện II-Xã Thiện Kế-Huyện Bình Xuyên-Tỉnh Vĩnh Phúc",
Valuetronics Việt Nam tuyển dụng tháng 11/2021,https://vinhphuc.work/valuetronics-viet-nam-tuyen-dung-thang-11-2021.html,Công Ty TNHH Valuetronics Việt Nam,Thỏa thuận,03/11/2021,"Lô số C14-15-16-17, KCN Thăng Long Vĩnh Phúc, Xã Thiện Kế, Huyện Bình Xuyên,...","Công Ty TNHH Valuetronics Việt Nam
Địa chỉ: Lô số C14-15-16-17, KCN Thăng Long Vĩnh Phúc, Xã Thiện Kế, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc
Email: tuyendung@valuetronics.asia
Điện thoại: 02113.555.900 – 0862321388"
Trung tâm laptop HNStore.com.vn tuyển dụng vị trí kỹ thuật viên,https://vinhphuc.work/trung-tam-laptop-hnstore-com-vn-tuyen-dung-vi-tri-ky-thuat-vien.html,,9.000.000 - 20.000.000,Từ 03/11/2021,"480 Mê Linh, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",
Trường mầm non Quốc tế Achi Home Montessori tuyển giáo viên Montessori,https://vinhphuc.work/truong-mam-non-quoc-te-achi-home-montessori-tuyen-giao-vien-montessori.html,Trường Quốc Tế Achi Home,5 - 10 triệu,03/11/2021,Phố Lê Đĩnh Chi - KĐT Chùa Hà Tiên - Vĩnh Yên - Vĩnh...,
Công ty TNHH Chemcos Vina tuyển dụng Nhân viên Kinh doanh,https://vinhphuc.work/cong-ty-tnhh-chemcos-vina-tuyen-dung.html,Công ty TNHH Chemcos Vina,Thỏa thuận,02/11/2021,Lô B9 – KCN Bá Thiện II – Thiện Kế – Bình Xuyên –...,"CÔNG TY TNHH CHEMCOS VINA Địa chỉ: Lô B9 – KCN Bá Thiện II – Thiện Kế – Bình Xuyên – Vĩnh Phúc
Email: Tuyendungchemcosvina@gmail.com
Điện thoại: 0211 2481 668 / 035 6 299 335"
Công ty TNHH Suất ăn ALOCOM tuyển dụng mới tháng 11/2021,https://vinhphuc.work/cong-ty-tnhh-suat-an-alocom-tuyen-dung-moi-thang-11-2021.html,,Thỏa thuận,02/11/2021,"Thôn Hiệp Thuận, Xã Thiện Kế, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc",
Suncar Tuyển Nhân viên Chăm sóc khách hàng,https://vinhphuc.work/suncar-tuyen-nhan-vien-cham-soc-khach-hang.html,,4.000.000-10.000.000,01/11/2021,Vĩnh Phúc,
Công ty cổ phần ACCURACY tuyển Lái xe giao hàng bộ phận...,https://vinhphuc.work/cong-ty-co-phan-accuracy-tuyen-lai-xe-giao-hang-bo-phan-kho.html,Công ty cổ phần ACCURACY,6.5-8 triệu,02/11/2021,"Công ty cổ phần ACCURACY - Phố An Định, Khu hành chính 8, P...",
Công ty TNHH SDT Vina tuyển dụng,https://vinhphuc.work/cong-ty-tnhh-sdt-vina-tuyen-dung.html,Công ty TNHH SDT Vina,Thỏa thuận,02/11/2021,"Lô CN 02-5 KCN Bình Xuyên 2, Bá Thiện, Bình Xuyên, Vĩnh Phúc",
Công ty TNHH công nghiệp Minda Việt Nam tuyển gấp Trưởng phòng...,https://vinhphuc.work/cong-ty-tnhh-cong-nghiep-minda-viet-nam-tuyen-gap-truong-phong-qa.html,Công ty TNHH công nghiệp Minda Việt Nam,Thỏa thuận,01/11/2021,KCN Bĩnh Xuyên 1,
